City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,39.2,86,75,5.82,AR,1602816825
1,bluff,-46.6,168.33,55.0,60,100,10.0,NZ,1602816826
2,punta arenas,-53.15,-70.92,44.6,70,41,17.22,CL,1602816729
3,baykit,61.67,96.37,28.92,91,99,12.21,RU,1602816826
4,jiangyou,31.77,104.72,65.35,58,51,3.56,CN,1602816826
5,rosetown,51.55,-108.0,33.01,82,76,10.22,CA,1602816827
6,jamestown,42.1,-79.24,46.0,93,90,9.17,US,1602816711
7,anadyr,64.75,177.48,42.8,93,40,20.13,RU,1602816827
8,hermanus,-34.42,19.23,57.99,82,96,7.0,ZA,1602816827
9,yellowknife,62.46,-114.35,26.01,73,75,18.34,CA,1602816671
10,avarua,-21.21,-159.78,75.2,57,76,6.93,CK,1602816691
11,guadalupe y calvo,26.1,-106.97,56.95,49,14,7.56,MX,1602816828
12,kapaa,22.08,-159.32,82.4,74,20,11.41,US,1602816828
13,payo,-3.75,103.64,92.62,46,33,1.66,ID,1602816828
14,saskylakh,71.92,114.08,18.12,96,100,10.96,RU,1602816828
15,arzachena,41.08,9.39,53.6,71,15,9.17,IT,1602816829
16,tuktoyaktuk,69.45,-133.04,19.4,85,90,16.11,CA,1602816829
17,carnarvon,-24.87,113.63,73.4,60,0,23.04,AU,1602816829
18,port elizabeth,-33.92,25.57,57.2,93,75,3.36,ZA,1602816829
19,kieta,-6.22,155.63,83.59,70,90,3.69,PG,1602816830
20,rio grande,-32.03,-52.1,61.12,92,0,10.4,BR,1602816612
21,maceio,-9.67,-35.74,69.8,94,61,3.36,BR,1602816830
22,montoro,38.02,-4.38,50.0,70,0,1.12,ES,1602816830
23,vila velha,-20.33,-40.29,75.2,73,100,11.41,BR,1602816830
24,klyuchi,52.27,79.17,45.82,88,61,3.09,RU,1602816830
25,qaanaaq,77.48,-69.36,23.79,82,20,6.46,GL,1602816831
26,atuona,-9.8,-139.03,78.73,75,1,19.3,PF,1602816831
27,gijon,43.54,-5.66,51.01,78,22,4.32,ES,1602816831
28,touros,-5.2,-35.46,77.0,83,40,6.93,BR,1602816787
29,bredasdorp,-34.53,20.04,51.8,93,100,4.7,ZA,1602816832
30,kaitangata,-46.28,169.85,62.01,40,100,1.99,NZ,1602816832
31,munak,29.52,76.85,77.05,26,1,1.86,IN,1602816832
32,caravelas,-17.71,-39.25,74.17,89,73,3.02,BR,1602816807
33,albany,42.6,-73.97,61.0,61,82,3.0,US,1602816639
34,thompson,55.74,-97.86,26.6,73,90,13.87,CA,1602816833
35,acapulco,16.86,-99.89,84.2,83,90,3.36,MX,1602816833
36,kodiak,57.79,-152.41,48.2,45,1,6.93,US,1602816833
37,dikson,73.51,80.55,31.06,97,93,18.19,RU,1602816833
38,makakilo city,21.35,-158.09,84.2,69,75,13.87,US,1602816834
39,port lincoln,-34.73,135.87,59.56,79,100,6.69,AU,1602816646
40,brightwater,-41.38,173.12,62.01,43,0,3.0,NZ,1602816834
41,rikitea,-23.12,-134.97,74.37,76,100,15.55,PF,1602816834
42,severodvinsk,64.56,39.83,32.0,80,40,4.47,RU,1602816834
43,mataura,-46.19,168.86,55.0,60,100,10.0,NZ,1602816835
44,castro,-24.79,-50.01,58.57,94,100,9.82,BR,1602816650
45,butaritari,3.07,172.79,82.6,72,99,11.18,KI,1602816836
46,ola,59.58,151.28,35.73,76,15,11.79,RU,1602816837
47,saint-philippe,-21.36,55.77,71.6,53,35,8.05,RE,1602816837
48,broken hill,-31.95,141.43,86.0,16,40,13.87,AU,1602816837
49,burnie,-41.07,145.92,55.99,40,83,13.0,AU,1602816837
50,atencingo,18.52,-98.6,68.63,77,8,3.15,MX,1602816838
51,pevek,69.7,170.31,36.73,85,100,15.01,RU,1602816838
52,east london,-33.02,27.91,63.61,78,11,8.99,ZA,1602816838
